ID,E (GPa),sy1,sy (GPa),n,hm (um),nu,base2,ref,refi,localstringt2D,Wp/Wt,C (GPa),dP/dh (N/m)
110,10,0.3,0.66,0.05,0.45,0.1,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.66 n=0.05 nu=0.1 hm=0.45 base=2D_r0_10b prefix=110,,,
111,10,0.3,3,0.05,0.1,0.1,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=3 n=0.05 nu=0.1 hm=0.1 base=2D_r0_10b prefix=111,,,
112,50,0.2,0.66,0.05,0.3,0.1,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=0.66 n=0.05 nu=0.1 hm=0.3 base=2D_r0_20 prefix=112,,,
113,50,0.2,0.5,0.05,0.4,0.1,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=0.5 n=0.05 nu=0.1 hm=0.4 base=2D_r0_20b prefix=113,,,
114,50,0.2,0.4,0.05,0.5,0.1,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=0.4 n=0.05 nu=0.1 hm=0.5 base=2D_r0_20b prefix=114,,,
115,50,0.2,0.33,0.05,0.6,0.1,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=0.33 n=0.05 nu=0.1 hm=0.6 base=2D_r0_20b prefix=115,,,
116,50,0.6,0.85,0.05,0.7,0.1,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=0.85 n=0.05 nu=0.1 hm=0.7 base=2D_r0_00b contact_penalty=1e4 prefix=116,,,
117,50,0.6,3,0.05,0.2,0.1,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=3 n=0.05 nu=0.1 hm=0.2 base=2D_r0_00 contact_penalty=1e4 prefix=117,,,
118,50,0.6,4,0.05,0.15,0.1,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=4 n=0.05 nu=0.1 hm=0.15 base=2D_r0_00 contact_penalty=1e4 prefix=118,,,
119,50,0.6,2.4,0.05,0.25,0.1,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=2.4 n=0.05 nu=0.1 hm=0.25 base=2D_r0_00 contact_penalty=1e4 prefix=119,,,
120,50,1,2.85,0.05,0.35,0.1,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=2.85 n=0.05 nu=0.1 hm=0.35 base=2D_r0_05b prefix=120,,,
121,50,1,2.22,0.05,0.45,0.1,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=2.22 n=0.05 nu=0.1 hm=0.45 base=2D_r0_05 prefix=121,,,
122,50,1,10,0.05,0.1,0.1,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=10 n=0.05 nu=0.1 hm=0.1 base=2D_r0_05 prefix=122,,,
123,50,1,3.33,0.05,0.3,0.1,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=3.33 n=0.05 nu=0.1 hm=0.3 base=2D_r0_05 prefix=123,,,
124,50,2,5,0.05,0.4,0.1,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=5 n=0.05 nu=0.1 hm=0.4 base=2D_r0_10b prefix=124,,,
125,50,2,4,0.05,0.5,0.1,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=4 n=0.05 nu=0.1 hm=0.5 base=2D_r0_10 prefix=125,,,
126,50,2,3.33,0.05,0.6,0.1,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=3.33 n=0.05 nu=0.1 hm=0.6 base=2D_r0_10 prefix=126,,,
127,50,2,2.85,0.05,0.7,0.1,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=2.85 n=0.05 nu=0.1 hm=0.7 base=2D_r0_10 prefix=127,,,
128,90,0.5,2.5,0.05,0.2,0.1,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=2.5 n=0.05 nu=0.1 hm=0.2 base=2D_r0_20b prefix=128,,,
129,90,0.5,3.33,0.05,0.15,0.1,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=3.33 n=0.05 nu=0.1 hm=0.15 base=2D_r0_20 prefix=129,,,
130,90,0.5,2,0.05,0.25,0.1,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=2 n=0.05 nu=0.1 hm=0.25 base=2D_r0_20 prefix=130,,,
131,90,0.5,1.42,0.05,0.35,0.1,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=1.42 n=0.05 nu=0.1 hm=0.35 base=2D_r0_20 prefix=131,,,
132,90,1.5,3.33,0.05,0.45,0.1,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=3.33 n=0.05 nu=0.1 hm=0.45 base=2D_r0_00b contact_penalty=1e4 prefix=132,,,
133,90,1.5,15,0.05,0.1,0.1,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=15 n=0.05 nu=0.1 hm=0.1 base=2D_r0_00 contact_penalty=1e4 prefix=133,,,
134,90,1.5,5,0.05,0.3,0.1,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=5 n=0.05 nu=0.1 hm=0.3 base=2D_r0_00b contact_penalty=1e4 prefix=134,,,
135,90,1.5,3.75,0.05,0.4,0.1,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=3.75 n=0.05 nu=0.1 hm=0.4 base=2D_r0_00b contact_penalty=1e4 prefix=135,,,
136,90,3,6,0.05,0.5,0.1,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=6 n=0.05 nu=0.1 hm=0.5 base=2D_r0_05b prefix=136,,,
137,90,3,5,0.05,0.6,0.1,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=5 n=0.05 nu=0.1 hm=0.6 base=2D_r0_05 prefix=137,,,
138,90,3,4.28,0.05,0.7,0.1,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=4.28 n=0.05 nu=0.1 hm=0.7 base=2D_r0_05b prefix=138,,,
139,90,3,15,0.05,0.2,0.1,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=15 n=0.05 nu=0.1 hm=0.2 base=2D_r0_05b prefix=139,,,
140,130,1,6.66,0.05,0.15,0.1,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=6.66 n=0.05 nu=0.1 hm=0.15 base=2D_r0_10b prefix=140,,,
141,130,1,4,0.05,0.25,0.1,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=4 n=0.05 nu=0.1 hm=0.25 base=2D_r0_10 prefix=141,,,
142,130,1,2.85,0.05,0.35,0.1,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=2.85 n=0.05 nu=0.1 hm=0.35 base=2D_r0_10b prefix=142,,,
143,130,1,2.22,0.05,0.45,0.1,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=2.22 n=0.05 nu=0.1 hm=0.45 base=2D_r0_10b prefix=143,,,
144,130,2,20,0.05,0.1,0.1,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=20 n=0.05 nu=0.1 hm=0.1 base=2D_r0_20b prefix=144,,,
145,130,2,6.66,0.05,0.3,0.1,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=6.66 n=0.05 nu=0.1 hm=0.3 base=2D_r0_20 prefix=145,,,
146,130,2,5,0.05,0.4,0.1,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=5 n=0.05 nu=0.1 hm=0.4 base=2D_r0_20b prefix=146,,,
147,130,2,4,0.05,0.5,0.1,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=4 n=0.05 nu=0.1 hm=0.5 base=2D_r0_20b prefix=147,,,
148,130,3,5,0.05,0.6,0.1,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=5 n=0.05 nu=0.1 hm=0.6 base=2D_r0_00b contact_penalty=1e4 prefix=148,,,
149,130,3,4.28,0.05,0.7,0.1,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=4.28 n=0.05 nu=0.1 hm=0.7 base=2D_r0_00b contact_penalty=1e4 prefix=149,,,
150,130,3,15,0.05,0.2,0.1,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=15 n=0.05 nu=0.1 hm=0.2 base=2D_r0_00 contact_penalty=1e4 prefix=150,,,
151,130,3,20,0.05,0.15,0.1,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=20 n=0.05 nu=0.1 hm=0.15 base=2D_r0_00 contact_penalty=1e4 prefix=151,,,
152,170,0.3,1.2,0.05,0.25,0.1,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=1.2 n=0.05 nu=0.1 hm=0.25 base=2D_r0_05b prefix=152,,,
153,170,0.3,0.85,0.05,0.35,0.1,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=0.85 n=0.05 nu=0.1 hm=0.35 base=2D_r0_05b prefix=153,,,
154,170,0.3,0.66,0.05,0.45,0.1,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=0.66 n=0.05 nu=0.1 hm=0.45 base=2D_r0_05 prefix=154,,,
155,170,0.3,3,0.05,0.1,0.1,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=3 n=0.05 nu=0.1 hm=0.1 base=2D_r0_05 prefix=155,,,
156,170,1.5,5,0.05,0.3,0.1,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=5 n=0.05 nu=0.1 hm=0.3 base=2D_r0_10b prefix=156,,,
157,170,1.5,3.75,0.05,0.4,0.1,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=3.75 n=0.05 nu=0.1 hm=0.4 base=2D_r0_10b prefix=157,,,
158,170,1.5,3,0.05,0.5,0.1,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=3 n=0.05 nu=0.1 hm=0.5 base=2D_r0_10 prefix=158,,,
159,170,1.5,2.5,0.05,0.6,0.1,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=2.5 n=0.05 nu=0.1 hm=0.6 base=2D_r0_10 prefix=159,,,
160,170,3,4.28,0.05,0.7,0.1,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=4.28 n=0.05 nu=0.1 hm=0.7 base=2D_r0_20b prefix=160,,,
161,170,3,15,0.05,0.2,0.1,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=15 n=0.05 nu=0.1 hm=0.2 base=2D_r0_20b prefix=161,,,
162,170,3,20,0.05,0.15,0.1,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=20 n=0.05 nu=0.1 hm=0.15 base=2D_r0_20 prefix=162,,,
163,170,3,12,0.05,0.25,0.1,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=12 n=0.05 nu=0.1 hm=0.25 base=2D_r0_20 prefix=163,,,
164,210,0.3,0.85,0.05,0.35,0.1,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=0.85 n=0.05 nu=0.1 hm=0.35 base=2D_r0_00b contact_penalty=1e4 prefix=164,,,
165,210,0.3,0.66,0.05,0.45,0.1,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=0.66 n=0.05 nu=0.1 hm=0.45 base=2D_r0_00b contact_penalty=1e4 prefix=165,,,
166,210,0.3,3,0.05,0.1,0.1,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=3 n=0.05 nu=0.1 hm=0.1 base=2D_r0_00 contact_penalty=1e4 prefix=166,,,
167,210,0.3,1,0.05,0.3,0.1,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=1 n=0.05 nu=0.1 hm=0.3 base=2D_r0_00b contact_penalty=1e4 prefix=167,,,
168,210,1.8,4.5,0.05,0.4,0.1,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=4.5 n=0.05 nu=0.1 hm=0.4 base=2D_r0_05b prefix=168,,,
169,210,1.8,3.6,0.05,0.5,0.1,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=3.6 n=0.05 nu=0.1 hm=0.5 base=2D_r0_05b prefix=169,,,
170,210,1.8,3,0.05,0.6,0.1,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=3 n=0.05 nu=0.1 hm=0.6 base=2D_r0_05 prefix=170,,,
171,210,1.8,2.57,0.05,0.7,0.1,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=2.57 n=0.05 nu=0.1 hm=0.7 base=2D_r0_05b prefix=171,,,
172,210,3,15,0.05,0.2,0.1,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=15 n=0.05 nu=0.1 hm=0.2 base=2D_r0_10b prefix=172,,,
173,210,3,20,0.05,0.15,0.1,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=20 n=0.05 nu=0.1 hm=0.15 base=2D_r0_10b prefix=173,,,
174,210,3,12,0.05,0.25,0.1,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=12 n=0.05 nu=0.1 hm=0.25 base=2D_r0_10 prefix=174,,,
175,210,3,8.57,0.05,0.35,0.1,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=8.57 n=0.05 nu=0.1 hm=0.35 base=2D_r0_10b prefix=175,,,
176,24.518,0.036792082,0.08,0.05,0.45,0.1,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=24.518 sy=0.08 n=0.05 nu=0.1 hm=0.45 base=2D_r0_20b prefix=176,,,
177,158.652,0.314353259,3.14,0.05,0.1,0.1,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=158.652 sy=3.14 n=0.05 nu=0.1 hm=0.1 base=2D_r0_20b prefix=177,,,
178,23.138,0.08110304,0.27,0.05,0.3,0.1,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=23.138 sy=0.27 n=0.05 nu=0.1 hm=0.3 base=2D_r0_20 prefix=178,,,
179,177.128,0.77102177,1.92,0.05,0.4,0.1,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=177.128 sy=1.92 n=0.05 nu=0.1 hm=0.4 base=2D_r0_20b prefix=179,,,
180,73.432,0.561384659,1.12,0.05,0.5,0.1,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=73.432 sy=1.12 n=0.05 nu=0.1 hm=0.5 base=2D_r0_00b contact_penalty=1e4 prefix=180,,,
181,83.518,0.698605786,1.16,0.05,0.6,0.1,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=83.518 sy=1.16 n=0.05 nu=0.1 hm=0.6 base=2D_r0_00b contact_penalty=1e4 prefix=181,,,
182,161.724,1.4218142,2.03,0.05,0.7,0.1,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=161.724 sy=2.03 n=0.05 nu=0.1 hm=0.7 base=2D_r0_00b contact_penalty=1e4 prefix=182,,,
183,200.938,1.791465339,8.95,0.05,0.2,0.1,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=200.938 sy=8.95 n=0.05 nu=0.1 hm=0.2 base=2D_r0_00 contact_penalty=1e4 prefix=183,,,
184,125.17298,1.46212455,9.74,0.05,0.15,0.1,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=125.17298 sy=9.74 n=0.05 nu=0.1 hm=0.15 base=2D_r0_05b prefix=184,,,
185,168.884,2.388292291,9.55,0.05,0.25,0.1,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=168.884 sy=9.55 n=0.05 nu=0.1 hm=0.25 base=2D_r0_05b prefix=185,,,
186,122.034,1.8229105,5.2,0.05,0.35,0.1,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=122.034 sy=5.2 n=0.05 nu=0.1 hm=0.35 base=2D_r0_05b prefix=186,,,
187,33.366,0.551258765,1.22,0.05,0.45,0.1,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=33.366 sy=1.22 n=0.05 nu=0.1 hm=0.45 base=2D_r0_05 prefix=187,,,
188,76.098,1.273039936,12.73,0.05,0.1,0.1,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=76.098 sy=12.73 n=0.05 nu=0.1 hm=0.1 base=2D_r0_10b prefix=188,,,
189,100.806,1.969671916,6.56,0.05,0.3,0.1,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=100.806 sy=6.56 n=0.05 nu=0.1 hm=0.3 base=2D_r0_10b prefix=189,,,
190,74.168,1.504071357,3.76,0.05,0.4,0.1,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=74.168 sy=3.76 n=0.05 nu=0.1 hm=0.4 base=2D_r0_10b prefix=190,,,
191,185.734,4.697898647,9.39,0.05,0.5,0.1,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=185.734 sy=9.39 n=0.05 nu=0.1 hm=0.5 base=2D_r0_10 prefix=191,,,
192,21.538,0.683477487,1.13,0.05,0.6,0.1,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=21.538 sy=1.13 n=0.05 nu=0.1 hm=0.6 base=2D_r0_20b prefix=192,,,
193,145.74,5.298021123,7.56,0.05,0.7,0.1,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=145.74 sy=7.56 n=0.05 nu=0.1 hm=0.7 base=2D_r0_20b prefix=193,,,
194,10,0.3,1.5,0.05,0.2,0.1,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=1.5 n=0.05 nu=0.1 hm=0.2 base=2D_r0_20b prefix=194,,,
195,24.52,0.0368,0.24,0.05,0.15,0.1,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=24.52 sy=0.24 n=0.05 nu=0.1 hm=0.15 base=2D_r0_20 prefix=195,,,
